id,geo_id,vaccine_id,FirstDose,SecondDose,NumberDosesReceived,week_start
1,2,3,0,0,10725,2020-12-18
2,4,3,0,0,9750,2020-12-18
3,5,3,1257,0,11700,2020-12-18
4,6,3,23716,0,151125,2020-12-18
5,9,3,3,0,9750,2020-12-18
6,10,3,240,0,9750,2020-12-18
7,13,1,0,0,NULL,2020-12-18
8,13,3,24,0,9750,2020-12-18
9,13,4,0,0,NULL,2020-12-18
10,13,6,0,0,NULL,2020-12-18
11,14,1,0,0,0,2020-12-18
12,14,3,0,0,52650,2020-12-18
13,14,4,0,0,0,2020-12-18
14,14,6,0,0,NULL,2020-12-18
15,15,3,0,0,9750,2020-12-18
16,16,3,1097,0,9750,2020-12-18
17,17,3,0,0,9750,2020-12-18
18,19,3,7012,0,9750,2020-12-18
19,20,3,2418,0,2418,2020-12-18
20,20,4,0,0,0,2020-12-18
21,21,3,0,0,9750,2020-12-18
22,22,3,0,0,11700,2020-12-18
23,23,3,57,0,NULL,2020-12-18
24,24,1,0,0,0,2020-12-18
25,24,3,0,0,11700,2020-12-18
26,24,4,0,0,0,2020-12-18
27,24,6,0,0,0,2020-12-18
28,25,6,5,0,9750,2020-12-18
29,26,1,0,0,0,2020-12-18
30,26,3,2213,0,9750,2020-12-18
31,26,4,0,0,0,2020-12-18
32,27,3,4968,0,0,2020-12-18
33,29,3,1963,0,9750,2020-12-18
34,30,3,6011,0,11700,2020-12-18
35,0,1,0,0,0,2020-12-25
36,0,3,4969,0,61425,2020-12-25
37,0,4,0,0,0,2020-12-25
38,1,3,794,0,9750,2020-12-25
39,2,3,4739,0,0,2020-12-25
40,2,4,0,0,0,2020-12-25
41,4,3,2976,0,6825,2020-12-25
42,5,3,12970,0,23400,2020-12-25
43,6,3,260079,0,1174875,2020-12-25
44,7,3,46761,0,53255,2020-12-25
45,9,3,16,0,0,2020-12-25
46,10,3,3627,0,83850,2020-12-25
47,11,3,96455,0,382200,2020-12-25
48,13,1,0,0,NULL,2020-12-25
49,13,3,5513,0,36075,2020-12-25
50,13,4,0,0,NULL,2020-12-25
