freq,unit,s_adj,indic,geo\TIME_PERIOD	2019-01 	2019-02 	2019-03 	2019-04 	2019-05 	2019-06 	2019-07 	2019-08 	2019-09 	2019-10 	2019-11 	2019-12 	2020-01 	2020-02 	2020-03 	2020-04 	2020-05 	2020-06 	2020-07 	2020-08 	2020-09 	2020-10 	2020-11 	2020-12 	2021-01 	2021-02 
M,PC_ACT,SA,LM-UN-T-LE25,AT	8.0 	7.7 	8.2 	8.2 	8.5 	8.9 	9.4 	9.4 	9.3 	9.1 	8.8 	8.8 	9.7 	10.3 	10.4 	11.1 	11.4 	10.6 	10.4 	10.2 	8.8 	8.7 	10.2 	11.0 	9.7 e	: 
M,PC_ACT,SA,LM-UN-T-LE25,BE	15.0 	15.0 	15.0 	13.9 	13.9 	13.9 	13.0 	13.0 	13.0 	15.1 	15.1 	15.1 	11.9 	11.9 	11.9 	15.7 	15.7 	15.7 	17.5 	17.5 	17.5 	16.6 	16.6 	16.6 	: 	: 
M,PC_ACT,SA,LM-UN-T-LE25,BG	10.0 	9.8 	9.7 	9.5 	9.3 	9.1 	8.6 	8.2 	8.2 	8.7 	9.0 	9.3 	12.1 	12.5 	13.3 	17.8 	17.3 	15.1 	14.4 	14.7 	14.9 	14.2 	13.8 	13.8 	16.5 	: 
M,PC_ACT,SA,LM-UN-T-LE25,CH	7.4 	7.3 	7.3 	7.5 	7.6 	7.9 	8.5 	8.9 	8.7 	8.5 	8.3 	8.0 	7.4 	7.0 	7.8 	9.3 	10.2 	10.3 	10.0 	9.4 	8.7 	8.1 	7.8 	7.6 	: 	: 
M,PC_ACT,SA,LM-UN-T-LE25,CY	18.2 	18.2 	18.2 	16.2 	16.2 	16.2 	16.4 	16.4 	16.4 	15.2 	15.2 	15.2 	13.4 	13.4 	13.4 	19.9 	19.9 	19.9 	21.4 	21.4 	21.4 	20.1 	20.1 	20.1 	: 	: 
M,PC_ACT,SA,LM-UN-T-LE25,CZ	5.9 	6.1 	6.7 	6.9 	6.7 	5.9 	5.4 	4.8 	5.1 	5.2 	5.2 	4.7 	5.6 	5.6 	6.5 	6.8 	8.3 	8.8 	9.1 	8.6 	7.7 	8.6 	9.4 	10.5 	10.8 	: 
M,PC_ACT,SA,LM-UN-T-LE25,DE	5.8 	5.8 	5.8 	5.8 	5.8 	5.8 	5.7 	5.7 	5.7 	5.6 	5.6 	5.6 	5.7	5.7	5.8	6.0	6.1	6.2	6.4	6.4	6.5	6.5	6.4	6.3	6.2	: 
M,PC_ACT,SA,LM-UN-T-LE25,DK	11.3 	11.0 	11.3 	9.9 	9.3 	8.5 	9.4 	9.5 	10.0 	10.2 	10.2 	10.0 	10.5 	10.1 	10.2 	10.4 	11.9 	12.5 	12.7 	11.8 	11.9 	12.3 	12.3 	11.6 	11.3 	: 
M,PC_ACT,SA,LM-UN-T-LE25,EA19	16.2 	16.1 	16.0 	15.9 	15.8 	15.5 	15.6 	15.5 	15.7 	15.5 	15.5 	15.5 	15.6 	15.3 	15.4 	16.4 	16.9 	18.0 	18.5 	18.9 	18.0 	17.4 	17.2 	17.2 	17.1 	: 
M,PC_ACT,SA,LM-UN-T-LE25,EE	8.4 	7.2 	7.6 	11.8 	13.6 	16.9 	13.6 	13.1 	9.3 	8.1 	9.2 	9.3 	8.6 	9.6 	9.9 	13.2 	17.9 	23.2 	23.7 	20.9 	20.7 	22.9 	23.3 	18.9 	: 	: 
M,PC_ACT,SA,LM-UN-T-LE25,EL	39.6 	38.5 	38.1 	32.9 	33.1 	33.9 	33.6 	34.3 	34.8 	35.1 	34.3 	33.0 	33.8 	34.3 	34.4 	36.3 	34.9 	38.8 	37.3 	36.1 	33.7 	33.8 	33.5 	34.2 	: 	: 
M,PC_ACT,SA,LM-UN-T-LE25,ES	34.2 	34.3 	33.9 	33.0 	32.7 	32.7 	32.8 	32.8 	32.2 	31.2 	30.5 	30.3 	31.3 	31.5 	33.8 	37.0 	38.7 	42.0 	41.5 	42.0 	40.8 	40.2 	40.0 	40.7 	39.9 	: 
M,PC_ACT,SA,LM-UN-T-LE25,EU27_2020	15.6 	15.5 	15.4 	15.3 	15.2 	14.8 	15.0 	14.7 	15.0 	14.9 	14.8 	14.8 	15.0 	14.9 	14.9 	16.0 	16.5 	17.6 	18.0 	18.2 	17.4 	16.9 	16.8 	16.9 	16.9 	: 
M,PC_ACT,SA,LM-UN-T-LE25,FI	16.3 	17.8 	16.0 	17.8 	16.7 	13.9 	15.2 	19.2 	18.3 	18.4 	16.8 	18.5 	19.7 	16.7 	20.7 	21.1 	23.3 	21.9 	23.6 	22.8 	20.0 	21.8 	21.6 	23.4 	: 	: 
M,PC_ACT,SA,LM-UN-T-LE25,FR	19.6 	19.7 	19.7 	19.5 	19.3 	19.3 	19.2 	19.2 	19.3 	19.9 	20.1 	20.2 	19.5 	18.6 	18.6 	21.3 	20.7 	21.3 	22.5 	22.2 	21.2 	19.1 	18.5 	18.1 	18.4 	: 
M,PC_ACT,SA,LM-UN-T-LE25,HR	18.3 	18.3 	18.3 	16.9 	16.9 	16.9 	16.4 	16.4 	16.4 	16.2 	16.2 	16.2 	17.4 	17.4 	17.4 	25.9 	25.9 	25.9 	25.6 	25.6 	25.6 	22.2 	22.2 	22.2 	: 	: 
M,PC_ACT,SA,LM-UN-T-LE25,HU	11.9 	10.9 	9.6 	12.5 	12.7 	8.3 	12.3 	8.9 	11.0 	16.8 	10.3 	9.5 	12.6 	9.5 	11.1 	14.1 	13.5 	16.9 	14.3 	11.3 	12.0 	10.3 	12.7 	10.9 	15.3 	: 
M,PC_ACT,SA,LM-UN-T-LE25,IE	12.8 	12.7 	13.1 	13.7 	13.9 	13.5 	12.5 	12.0 	11.4 	11.0 	11.1 	11.6 	12.4 	12.3 	12.8 	13.2 	14.2 	15.6 	17.1 	17.7 	18.6 	16.6 	16.5 	15.5 	15.6 	15.1 
M,PC_ACT,SA,LM-UN-T-LE25,IS	8.0 	8.1 	8.1 	8.2 	8.5 	8.9 	9.3 	9.8 	10.1 	10.4 	10.6 	10.7 	10.8 	11.0 	11.2 	11.4 	11.4 	11.4 	11.5 	11.7 	11.8 	11.9 	12.0 	12.2 	12.3 	: 
M,PC_ACT,SA,LM-UN-T-LE25,IT	31.7 	31.5 	30.0 	30.9 	29.8 	27.5 	28.1 	26.6 	28.7 	27.7 	28.2 	28.4 	28.9 	28.6 	27.7 	26.2 	28.3 	29.7 	30.8 	31.2 	29.3 	29.8 	29.4 	29.7 	: 	: 
M,PC_ACT,SA,LM-UN-T-LE25,LT	11.3 	10.9 	10.5 	10.0 	10.1 	10.4 	11.0 	11.8 	12.4 	13.8 	14.6 	15.4 	15.6 	16.1 	17.0 	19.5 	21.1 	21.9 	22.3 	22.8 	23.6 	19.9 	18.4 	17.7 	18.2 	: 
M,PC_ACT,SA,LM-UN-T-LE25,LU	14.1 	15.8 	16.6 	17.3 	17.1 	17.5 	17.9 	17.4 	16.7 	17.6 	18.0 	18.9 	18.1 	17.6 	20.0 	24.7 	26.4 	27.0 	25.5 	23.4 	23.2 	22.3 	22.3 	23.1 	22.0 	: 
M,PC_ACT,SA,LM-UN-T-LE25,LV	13.3 	13.5 	13.6 	14.0 	14.1 	13.5 	11.8 	10.7 	10.4 	11.0 	11.4 	12.3 	14.0 	14.3 	15.6 	17.1 	17.5 	16.9 	15.6 	14.0 	13.1 	12.6 	13.1 	14.1 	15.5 	: 
M,PC_ACT,SA,LM-UN-T-LE25,MT	10.2 	10.8 	10.0 	8.8 	8.5 	8.6 	8.9 	9.0 	9.3 	9.1 	9.5 	9.6 	10.6 	10.7 	10.6 	9.9 	10.7 	10.3 	10.8 	11.3 	10.5 	10.7 	11.1 	11.6 	11.5 	: 
M,PC_ACT,SA,LM-UN-T-LE25,NL	6.5 	6.4 	6.4 	6.2 	6.3 	6.5 	6.7 	6.9 	7.2 	7.3 	7.3 	6.7 	6.4 	6.3 	6.3 	8.4 	9.5 	10.7 	11.0 	11.3 	10.7 	10.1 	9.4 	9.5 	9.1 	: 
M,PC_ACT,SA,LM-UN-T-LE25,NO	10.4 	10.3 	9.7 	9.3 	9.4 	10.0 	10.1 	9.7 	10.1 	9.9 	10.3 	10.1 	10.3 	10.1 	10.0 	10.2 	11.8 	12.8 	13.3 	12.9 	12.9 	11.9 	11.5 	: 	: 	: 
M,PC_ACT,SA,LM-UN-T-LE25,PL	11.2 	10.9 	10.9 	11.1 	11.0 	10.8 	10.2 	9.7 	9.0 	8.4 	8.0 	7.8 	8.9 	9.6 	9.5 	9.6 	9.9 	10.7 	11.1 	11.2 	11.3 	12.7 	13.6 	13.8 	14.3 	: 
M,PC_ACT,SA,LM-UN-T-LE25,PT	17.5 	16.8 	17.1 	17.1 	19.6 	18.9 	19.6 	18.1 	18.8 	17.7 	18.6 	18.7 	19.5 	18.9 	18.3 	20.6 	21.4 	27.4 	26.2 	26.8 	24.3 	24.7 	23.4 	23.7 p	24.6 p	: 
M,PC_ACT,SA,LM-UN-T-LE25,RO	16.2 	16.2 	16.2 	16.2 	16.2 	16.2 	17.0 	17.0 	17.0 	17.4 	17.4 	17.4 	18.2 	18.2 	18.2 	17.0 	17.0 	17.0 	18.0 	18.0 	18.0 	: 	: 	: 	: 	: 
M,PC_ACT,SA,LM-UN-T-LE25,SE	20.0 	21.2 	20.7 	19.8 	19.5 	18.0 	19.3 	19.7 	20.4 	20.3 	20.7 	20.1 	20.7 	20.2 	19.5 	24.6 	25.2 	28.3 	28.2 	26.6 	24.5 	23.5 	23.1 	24.1 	24.2 	: 
M,PC_ACT,SA,LM-UN-T-LE25,SI	8.8 	8.8 	8.8 	7.1 	7.1 	7.1 	8.2 	8.2 	8.2 	8.3 	8.3 	8.3 	10.3 	10.3 	10.3 	16.9 	16.9 	16.9 	15.7 	15.7 	15.7 	14.6 	14.6 	14.6 	: 	: 
M,PC_ACT,SA,LM-UN-T-LE25,SK	14.2 	14.7 	15.0 	15.4 	15.9 	16.4 	16.7 	16.7 	16.9 	17.0 	16.5 	15.9 	16.4 	16.4 	16.5 	20.0 	20.4 	20.1 	20.8 	20.8 	19.2 	19.9 	20.4 	20.5 	20.8 	: 
M,PC_ACT,SA,LM-UN-T-LE25,TR	24.9 	25.0 	25.7 	25.4 	25.3 	25.6 	26.9 	26.9 	25.9 	25.0 	24.0 	24.0 	22.8 	23.4 	25.0 	26.7 	27.0 	27.0 	25.7 	25.6 	24.1 	24.6 	: 	: 	: 	: 
M,PC_ACT,SA,LM-UN-T-LE25,UK	10.7 	10.4 	10.6 	11.1 	11.3 	11.3 	11.8 	11.9 	11.4 	11.0 	10.9 	11.2 	11.4 	11.6 	11.9 	12.2 	12.4 	13.0 	14.1 	14.6 	14.5 	: 	: 	: 	: 	: 
